1733	1733.00	1276
1669	1669.00	1147
2233	2233.00	1644
1719	1720.00	1117
3502	3502.00	2789
3674	3674.00	3059
3680	3680.00	3064
3592	3592.00	2898
3603	3603.00	2901
3161	3161.00	2523
3646	3646.00	2880
4148	4149.00	3359
3935	3935.00	3123
4006	4007.00	3323
3295	3295.00	2648
3367	3368.00	2695
4417	4417.00	3670
4323	4327.00	3620
4173	4181.00	3505
3955	3957.00	3227
3787	3787.00	3093
3397	3399.00	2783
3628	3628.00	2993
4680	4680.00	3888
7679	7679.00	6566
7369	7369.00	6278
4797	4797.00	3905
4822	4822.00	3920
6182	6182.00	5316
4255	4255.00	3416
3847	3847.00	3064
4131	4131.00	3348
3819	3819.00	3015
3497	3499.00	2720
3592	3596.00	2882
3700	3700.00	2887
5411	5411.00	4284
5004	5004.00	4028
4872	4875.00	4000
4449	4449.00	3443
5144	5144.00	4227
4267	4274.00	3432
4871	4871.00	4138
4184	4184.00	3272
3767	3767.00	2818
4178	4178.00	3232
7154	7154.00	5717
7364	7364.00	5918
9340	9340.00	7924
5449	5449.00	4305
